index,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
ACWI EX JAPAN ESG,COMMONWEALTH BANK OF AUS AU,WESTPAC BANKING,ANZ BANKING GROUP,NATIONAL AUSTRALIA BANK,WESFARMERS,HONGKONG EXCH & CLEARING,SINGAPORE TELECOM,DBS GROUP HOLDINGS,CLP HOLDINGS,TRANSURBAN GROUP
ACWI EX KOREA ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),NOVO NORDISK B,GLAXOSMITHKLINE,COMMONWEALTH BANK OF AUS AU,ROYAL BANK OF CANADA,VODAFONE GROUP
ACWI EX USA ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),NOVO NORDISK B,GLAXOSMITHKLINE,COMMONWEALTH BANK OF AUS AU,ROYAL BANK OF CANADA,VODAFONE GROUP
ACWI LOW CARBON LEADERS,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,GENERAL ELECTRIC CO,AMAZON.COM,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
ACWI LOW CARBON TARGET,APPLE,MICROSOFT CORP,JOHNSON & JOHNSON,GENERAL ELECTRIC CO,AMAZON.COM,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO,NESTLE
ACWI SRI,MICROSOFT CORP,PROCTER & GAMBLE CO,ROCHE HOLDING GENUSS,DISNEY (WALT),CISCO SYSTEMS,IBM CORP,GILEAD SCIENCES,TAIWAN SEMICONDUCTOR MFG,MCDONALD'S CORP,NOVO NORDISK B
AUSTRALIA SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP
AUSTREALIA ESG,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP,TAKEDA PHARMACEUTICAL,SEVEN & I HOLDINGS CO,EAST JAPAN RAILWAY CO,NTT CORP
BRAZIL ESG,ITAU UNIBANCO PN,BANCO BRADESCO PN,CIELO ON,BRF ON,ITAUSA PN,BM&F BOVESPA ON,ULTRAPAR PART ON,BANCO BRADESCO ON,TELEF BRASIL PN,KROTON EDUCACIONAL ON
BRIC ESG,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP,TAKEDA PHARMACEUTICAL,SEVEN & I HOLDINGS CO,EAST JAPAN RAILWAY CO,NTT CORP
CANADA ESG,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,BANK NOVA SCOTIA,CANADIAN NATL RAILWAY,SUNCOR ENERGY,BANK MONTREAL,ENBRIDGE,CANADIAN IMPERIAL BANK,MAGNA INTERNATIONAL,ROGERS COMMUNICATIONS B
CANADA SRI,BANK NOVA SCOTIA,CANADIAN NATL RAILWAY,BANK MONTREAL,ENBRIDGE,CANADIAN IMPERIAL BANK,ROGERS COMMUNICATIONS B,POTASH CORP SASKATCHEWAN,CENOVUS ENERGY,CGI GROUP A,AGNICO EAGLE MINES
CHINA ESG,TENCENT HOLDINGS LI (CN),CHINA MOBILE,CHINA CONSTRUCTION BK H,PING AN INSURANCE H,CHINA MERCHANTS BANK H,CHINA MINSHENG BANK H,SINOPHARM GROUP CO H,CHINA SHENHUA ENERGY H,CHINA CITIC BANK H,LENOVO GROUP
EAFE ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,COMMONWEALTH BANK OF AUS AU,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING
EAFE EX JP ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,COMMONWEALTH BANK OF AUS AU,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING
EAFE EX JP SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP
EAFE EX UK ESG,NESTLE,ROCHE HOLDING GENUSS,NOVARTIS,TOYOTA MOTOR CORP,NOVO NORDISK B,TOTAL,ANHEUSER-BUSCH INBEV,SANOFI,COMMONWEALTH BANK OF AUS AU,SIEMENS
EAFE EX UK SRI,NESTLE,ROCHE HOLDING GENUSS,NOVARTIS,TOYOTA MOTOR CORP,NOVO NORDISK B,TOTAL,ANHEUSER-BUSCH INBEV,SANOFI,COMMONWEALTH BANK OF AUS AU,SIEMENS
EAFE SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP
EM ASIA ESG,TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),CHINA MOBILE,CHINA CONSTRUCTION BK H,INFOSYS,HOUSING DEV FINANCE CORP,PING AN INSURANCE H,RELIANCE INDUSTRIES,TATA CONSULTANCY,HYUNDAI MOBIS
EM EASTERN EUROPE ESG,OTP BANK,POLSKI KONCERN NAF ORLEN,PKO BANK POLSKI,BANK PEKAO,POWSZECHNY ZAKLAD UBEZP,KOMERCNI BANKA,CEZ CESKE ENER ZAVODY,RICHTER GEDEON,POLSKA GRUPA ENER,POLISH OIL & GAS
EM EMEA ESG,TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),CHINA MOBILE,CHINA CONSTRUCTION BK H,INFOSYS,HOUSING DEV FINANCE CORP,PING AN INSURANCE H,RELIANCE INDUSTRIES,TATA CONSULTANCY,HYUNDAI MOBIS
EM EUROPE ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,VODAFONE GROUP,SAP,ALLIANZ,UNILEVER NV (NL) CERT,BASF
EM EUROPE MIDDLE EAST ESG,STATOIL,DNB,TELENOR,ORKLA,MARINE HARVEST,YARA INTERNATIONAL,NORSK HYDRO,GJENSIDIGE FORSIKRING,SUBSEA 7,SCHIBSTED B
EM FAR EAST ESG,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP,TAKEDA PHARMACEUTICAL,SEVEN & I HOLDINGS CO,EAST JAPAN RAILWAY CO,NTT CORP
EM LATIN AMERICA ESG,ITAU UNIBANCO PN,BANCO BRADESCO PN,FEMSA UNIT UBD,CIELO ON,CEMEX CPO,BRF ON,ITAUSA PN,BM&F BOVESPA ON,ULTRAPAR PART ON,BANCO BRADESCO ON
EMERGING MARKET SRI,TAIWAN SEMICONDUCTOR MFG TW,INFOSYS,HOUSING DEV FINANCE CORP,TATA CONSULTANCY,BANCO BRADESCO PN,FEMSA UNIT UBD,SHINHAN FINANCIAL GROUP,MTN GROUP,CHUNGHWA TELECOM CO,PUBLIC BANK
EMERGING MARKETS ESG,TAIWAN SEMICONDUCTOR MFG TW,SAMSUNG ELECTRONICS CO,TENCENT HOLDINGS LI (CN),CHINA MOBILE,NASPERS N,INFOSYS,CHINA CONSTRUCTION BK H,ICBC H,CHUNGHWA TELECOM CO,ALIBABA GROUP HLDG ADR
EUROPE EX UK SRI,NESTLE,ROCHE HOLDING GENUSS,NOVARTIS,NOVO NORDISK B,TOTAL,ANHEUSER-BUSCH INBEV,SANOFI,SIEMENS,SAP,BAYER
EUROPE LOW CARBON LEADERS,ROCHE HOLDING GENUSS,NOVARTIS,BRITISH AMERICAN TOBACCO,ROYAL DUTCH SHELL A,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,SANOFI,SIEMENS,VODAFONE GROUP
EUROPE MIDDLE EAST SRI,STATOIL,DNB,TELENOR,ORKLA,MARINE HARVEST,YARA INTERNATIONAL,NORSK HYDRO,GJENSIDIGE FORSIKRING,SUBSEA 7,SCHIBSTED B
EUROPE SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,UNILEVER NV (NL) CERT,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP,PRUDENTIAL
EWU SRI,JOHN KEELLS HOLDINGS,COMMERCIAL BANK CEYLON,CEYLON TOBACCO CO,None,None,None,None,None,None,None
FAR EAST ESG,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP,TAKEDA PHARMACEUTICAL,SEVEN & I HOLDINGS CO,EAST JAPAN RAILWAY CO,NTT CORP
GLOBAL ALTERNATIVE ENERGY,ENGIE,SAINT-GOBAIN,CENTRICA,VESTAS WIND SYSTEMS,AGL ENERGY,EDP ENERGIAS DE PORTUGAL,CALPINE CORP,GAMESA CORP TECNOLOGICA,FIRST SOLAR,CONTACT ENERGY
GLOBAL CLEAN TECHNOLOGY,ABB LTD,SCHNEIDER ELECTRIC,EMERSON ELECTRIC CO,EAST JAPAN RAILWAY CO,EATON CORP PLC,ROCKWELL AUTOMATION,CITRIX SYSTEMS,VALEO,SERVICENOW,AKAMAI TECHNOLOGIES
GLOBAL ENVIRONMENT,ABB LTD,SCHNEIDER ELECTRIC,EMERSON ELECTRIC CO,EAST JAPAN RAILWAY CO,EATON CORP PLC,ENGIE,TESLA MOTORS,SAINT-GOBAIN,CENTRICA,VESTAS WIND SYSTEMS
GLOBAL GREEN BUILDING,SEKISUI HOUSE,BRITISH LAND CO,TAYLOR WIMPEY,BERKELEY GRP HLDGS UNIT,LENNOX INTERNATIONAL,OWENS CORNING,DERWENT LONDON,KINGSPAN GROUP,LOUISIANA-PACIFIC CORP,HERMAN MILLER
GLOBAL POLLUTION PREVENTION,TESLA MOTORS,WASTE CONNECTIONS,DS SMITH,SUEZ,UMICORE,DONALDSON CO,TENNECO,CLARCOR,DARLING INGREDIENTS,CLEAN HARBORS
GLOBAL SUSTAINABLE WATER,AMERICAN WATER WORKS CO,PENTAIR PLC,XYLEM,AQUA AMERICA,BEIJING ENTERPRISE WATER,KURITA WATER INDUSTRIES,SABESP ON,MUELLER WATER PRODUCTS A,WATTS WATER TECHNOLOGIES US,CALIFORNIA WATER SERVICE
INDIA ESG,INFOSYS,HOUSING DEV FINANCE CORP,RELIANCE INDUSTRIES,TATA CONSULTANCY,HINDUSTAN UNILEVER,MAHINDRA & MAHINDRA,BHARTI AIRTEL,HCL TECHNOLOGIES,DR REDDY'S LABORATORIES,TATA MOTORS
JAPAN ESG,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP,TAKEDA PHARMACEUTICAL,SEVEN & I HOLDINGS CO,EAST JAPAN RAILWAY CO,NTT CORP
JAPAN SRI,KDDI,HONDA MOTOR CO,NTT DOCOMO,SONY CORP,EAST JAPAN RAILWAY CO,ASTELLAS PHARMA,NISSAN MOTOR CO,SHIN-ETSU CHEMICAL CO,MURATA MANUFACTURING CO,MITSUI FUDOSAN CO
KLD 400 SOCIAL,MICROSOFT CORP,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,COCA COLA (THE),MERCK & CO,DISNEY (WALT),INTEL CORP,CISCO SYSTEMS
KOKUSAI ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
KOKUSAI SRI,AMAZON.COM,FACEBOOK A,HOME DEPOT,ALPHABET C,ALPHABET A,VISA A,ALTRIA GROUP,STARBUCKS CORP,MCDONALD'S CORP,DISNEY (WALT)
KOREA ESG,HYUNDAI MOBIS,SHINHAN FINANCIAL GROUP,SK HYNIX,AMOREPACIFIC CORP (NEW),KB FINANCIAL GROUP,LG CHEM,SK INNOVATION CO,LG HOUSEHOLD & HEALTH,SAMSUNG FIRE & MARINE,SAMSUNG C&T CORPORATION
MSCI GLOBAL CLIMATE INDEX,REC SILICON,TOSHIBA CORP,EBARA CORP,RACKSPACE HOSTING,TESLA MOTORS,CANADIAN TIRE CORP A,HERMAN MILLER,MITSUBISHI ELECTRIC CORP,INGERSOLL-RAND A,VMWARE A
NORTH AMERICA ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT),INTEL CORP,CISCO SYSTEMS
NORTH AMERICA LOW CARBON LEADERS,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,GENERAL ELECTRIC CO,AMAZON.COM,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
NORTH AMERICA SRI,MICROSOFT CORP,PROCTER & GAMBLE CO,DISNEY (WALT),CISCO SYSTEMS,IBM CORP,GILEAD SCIENCES,MCDONALD'S CORP,NIKE B,ACCENTURE A,UNITED PARCEL SERVICE B
PACIFIC ESG,COMMONWEALTH BANK OF AUS AU,WESTPAC BANKING,ANZ BANKING GROUP,NATIONAL AUSTRALIA BANK,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP
PACIFIC EX JAPAN ESG,COMMONWEALTH BANK OF AUS AU,WESTPAC BANKING,ANZ BANKING GROUP,NATIONAL AUSTRALIA BANK,WESFARMERS,HONGKONG EXCH & CLEARING,SINGAPORE TELECOM,DBS GROUP HOLDINGS,CLP HOLDINGS,TRANSURBAN GROUP
PACIFIC EX JAPAN SRI,WESTPAC BANKING,NATIONAL AUSTRALIA BANK,WESFARMERS,TRANSURBAN GROUP,WOODSIDE PETROLEUM,BRAMBLES,HANG SENG BANK,AMP LTD,INSURANCE AUSTRALIA GRP,GOODMAN GROUP
PACIFIC SRI,WESTPAC BANKING,NATIONAL AUSTRALIA BANK,KDDI,HONDA MOTOR CO,NTT DOCOMO,SONY CORP,WESFARMERS,EAST JAPAN RAILWAY CO,ASTELLAS PHARMA,NISSAN MOTOR CO
RUSSIA ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
SOUTH AFRICA ESG,NASPERS N,MTN GROUP,STANDARD BANK GROUP,FIRSTRAND,REMGRO,ASPEN PHARMACARE HLDGS,SANLAM,WOOLWORTHS HOLDINGS,SHOPRITE HOLDINGS,BARCLAYS AFRICA GROUP
TAIWAN ESG,TAIWAN SEMICONDUCTOR MFG,CHUNGHWA TELECOM CO,UNI-PRESIDENT ENT.,DELTA ELECTRONICS,CTBC FINANCIAL HOLDING,CHINA STEEL CORP COMMON,ASE,ASUSTEK COMPUTER,TAIWAN MOBILE,PRESIDENT CHAIN STORE
UK ESG,HSBC HOLDINGS (GB),GLAXOSMITHKLINE,VODAFONE GROUP,RECKITT BENCKISER GROUP,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP,PRUDENTIAL,WPP,AVIVA
UNITED KINGDOM SRI,VODAFONE GROUP,UNILEVER PLC (GB),NATIONAL GRID,BT GROUP,PRUDENTIAL,WPP,AVIVA,STANDARD CHARTERED,LEGAL & GENERAL GROUP,RELX (GB)
USA BROAD ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT),INTEL CORP,CISCO SYSTEMS
USA ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT),INTEL CORP,CISCO SYSTEMS
USA ESG SELECT,3M CO,MICROSOFT CORP,NEXTERA ENERGY,APPLE,ACCENTURE A,NORTHERN TRUST CORP,ECOLAB,MARSH & MCLENNAN COS,CHUBB,ALPHABET A
USA MC ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT),INTEL CORP,CISCO SYSTEMS
USA MC SRI,MICROSOFT CORP,PROCTER & GAMBLE CO,DISNEY (WALT),CISCO SYSTEMS,IBM CORP,GILEAD SCIENCES,MCDONALD'S CORP,NIKE B,ACCENTURE A,UNITED PARCEL SERVICE B
USA SMID ESG,NVIDIA,EQUINIX,EDWARDS LIFESCIENCES,DOLLAR TREE,WEC ENERGY GROUP,TYSON FOODS A,HARTFORD FINANCIAL SVCS,NIELSEN HOLDINGS PLC,MOLSON COORS BREWING B,ANALOG DEVICES
USA SRI,MICROSOFT CORP,PROCTER & GAMBLE CO,DISNEY (WALT),CISCO SYSTEMS,IBM CORP,GILEAD SCIENCES,MCDONALD'S CORP,NIKE B,ACCENTURE A,UNITED PARCEL SERVICE B
WORLD ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
WORLD EX AU SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,BANK NOVA SCOTIA,UNILEVER PLC (GB),NATIONAL GRID
WORLD EX AUSTRALIA ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
WORLD EX EMU ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
WORLD EX EMU SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,BANK NOVA SCOTIA,UNILEVER PLC (GB),NATIONAL GRID
WORLD EX EUROPE ESG,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,AMAZON.COM,GENERAL ELECTRIC CO,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
WORLD EX EUROPE SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,BANK NOVA SCOTIA,UNILEVER PLC (GB),NATIONAL GRID
WORLD EX UK ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
WORLD EX USA ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,COMMONWEALTH BANK OF AUS AU,ROYAL BANK OF CANADA,VODAFONE GROUP,TORONTO-DOMINION BANK,SAP
WORLD EX USA SRI,ROCHE HOLDING GENUSS,NOVO NORDISK B,VODAFONE GROUP,SAP,ALLIANZ,WESTPAC BANKING,UNILEVER NV (NL) CERT,BANK NOVA SCOTIA,UNILEVER PLC (GB),NATIONAL GRID
WORLD LOW CARBON LEADERS,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,GENERAL ELECTRIC CO,AMAZON.COM,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
WORLD SRI,MICROSOFT CORP,PROCTER & GAMBLE CO,ROCHE HOLDING GENUSS,DISNEY (WALT),CISCO SYSTEMS,IBM CORP,GILEAD SCIENCES,MCDONALD'S CORP,NOVO NORDISK B,VODAFONE GROUP
