index,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
AC AMERICAS ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,VODAFONE GROUP,SAP,ALLIANZ,UNILEVER NV (NL) CERT,BASF
AC ASIA ESG,TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),CHINA MOBILE,CHINA CONSTRUCTION BK H,KDDI,HONDA MOTOR CO,SUMITOMO MITSUI FINL GRP,MIZUHO FINANCIAL GROUP,NTT DOCOMO,SONY CORP
AC ASIA PACIFIC ESG,TAIWAN SEMICONDUCTOR MFG,TENCENT HOLDINGS LI (CN),COMMONWEALTH BANK OF AUS,WESTPAC BANKING,CHINA MOBILE,CHINA CONSTRUCTION BK H,ANZ BANKING GROUP,NATIONAL AUSTRALIA BANK,KDDI,HONDA MOTOR CO
AC EUROPE ESG,ROCHE HOLDING GENUSS,NOVARTIS,HSBC HOLDINGS (GB),NOVO NORDISK B,GLAXOSMITHKLINE,VODAFONE GROUP,SAP,ALLIANZ,UNILEVER NV (NL) CERT,BASF
AC FAR EAST ESG,TOYOTA MOTOR CORP,SAMSUNG ELECTRONICS CO,TAIWAN SEMICONDUCTOR MFG TW,TENCENT HOLDINGS LI (CN),AIA GROUP,CHINA MOBILE,MITSUBISHI UFJ FIN GRP,CHINA CONSTRUCTION BK H,SOFTBANK GROUP CORP,KDDI
AC PACIFIC ESG,TAIWAN SEMICONDUCTOR MFG,TENCENT HOLDINGS LI (CN),COMMONWEALTH BANK OF AUS,WESTPAC BANKING,CHINA MOBILE,CHINA CONSTRUCTION BK H,ANZ BANKING GROUP,NATIONAL AUSTRALIA BANK,KDDI,HONDA MOTOR CO
ACWI ESG,JOHNSON & JOHNSON,ALPHABET C,PROCTER & GAMBLE CO,ALPHABET A,VERIZON COMMUNICATIONS,ROCHE HOLDING GENUSS,NOVARTIS,BERKSHIRE HATHAWAY B,MERCK & CO,DISNEY (WALT)
ACWI EX COAL,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,AMAZON.COM,GENERAL ELECTRIC CO,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
ACWI EX EMU ESG,APPLE,MICROSOFT CORP,EXXON MOBIL CORP,JOHNSON & JOHNSON,AMAZON.COM,GENERAL ELECTRIC CO,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO
ACWI EX FOSSIL FUELS,APPLE,MICROSOFT CORP,JOHNSON & JOHNSON,AMAZON.COM,GENERAL ELECTRIC CO,FACEBOOK A,WELLS FARGO & CO,AT&T,JPMORGAN CHASE & CO,NESTLE
