index,count,year
1,1933,1
2,1952,2
3,1958,1
4,1965,1
5,1967,1
6,1968,2
7,1969,1
8,1971,2
9,1972,5
10,1978,2
11,1979,2
12,1980,7
13,1981,1
14,1982,3
15,1983,1
16,1984,5
17,1985,6
18,1986,5
19,1987,9
20,1988,7
21,1989,13
22,1990,10
23,1991,15
24,1992,24
25,1993,26
26,1994,24
27,1995,23
28,1996,24
29,1997,27
30,1998,73
31,1999,99
32,2000,222
33,2001,120
34,2002,125
35,2003,141
36,2004,119
37,2005,121
38,2006,128
39,2007,159
40,2008,209
41,2009,130
42,2010,95
43,2011,105
44,2012,71
45,2013,104
46,2014,71
47,2015,72
48,2016,69
