Ticket,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310
RiskParity,38.5309113,-847.0401848,-419.7591466,362.6883918,777.4185614,-820.4267483,-368.0729137,-60.69242762,1047.379846,471.3096638,-56.73981443,-88.56319269,-130.8720823,110.6217618,-180.807346,-557.2864384,-16.47234273,201.4459997,-353.1750465,2.084591188,-288.0561335,-237.4855707,-845.504045,-476.3471583,-104.8165251,-27.52271449,499.8845598,345.5324201,-464.6503711,-456.2146415,455.9676019,397.0514589,888.7024842,-565.4371595,245.8924424,-131.7251415,-497.7127155,-297.7043631,-3.318313609,-1083.85161,-32.99964079,336.4041645,217.3533265,-280.8353304,876.4066298,-976.8059322,-180.3529721,851.4187542,642.5163431,296.4862255,-121.8211538,438.7925493,-453.2943716,-3.416634533,-745.1446574,-161.0514115,-217.9312837,-654.8152776,-269.2392327,1421.328377,679.0911797,-295.4743452,65.34796902,-63.17678499,-506.1039436,327.200753,-79.51922762,76.03098382,977.798178,-294.3994224,456.221973,110.5482663,252.9074661,399.3732163,-188.6409829,-500.9630706,-821.1753971,-1690.823873,-2869.381244,-1504.145189,1569.169016,1139.88861,77.96291572,-583.7013355,-2125.993992,807.2604343,155.8264137,-1146.501436,1829.09537,-657.9988472,77.73443262,191.8381553,-170.4927168,757.8811246,647.9037412,-20.1129784,-1106.299792,402.7344458,-758.5089202,-656.036536,188.1716304,244.1934444,-1204.129872,389.5700812,1010.918503,-543.3180881,736.676711,1644.100851,-281.1823167,588.5393321,878.3439807,30.70213281,372.5521209,-340.5023094,-58.3567648,750.5165139,324.1272824,-41.19926198,149.3417817,-284.0549838,1429.902074,123.5483988,-375.053432,-394.2295926,96.13630999,397.8953126,-64.48206846,374.8735718,275.003451,-226.2429985,-30.23374871,-831.0871083,-684.7743444,-110.6192696,19.5658933,-843.1902213,357.8104272,1575.877583,-730.551528,860.5885331,157.5564798,-16.01215955,-494.6175957,-34.58427486,-356.6320439,281.3050364,-543.0247023,211.3750808,-1126.212183,-1007.622099,1441.377858,-375.6095206,-919.1277699,-128.2766032,-203.7794432,-988.1386423,266.7645115,757.8536723,1016.475104,-1088.772552,-1123.116359,288.1812306,696.4422892,1058.437793,-199.7587757,-227.8148556,677.6973388,-512.3095398,-837.299536,-836.0334393,493.0514206,-574.0789524,-1120.294766,-139.6932126,243.8439591,478.6915359,-964.7843623,1158.700417,-1208.464504,636.4685859,-1062.293839,368.0278874,1105.5294,-776.629874,1045.267886,-6.648310269,424.770854,1538.429545,-319.3677617,-965.6952119,1157.162637,382.3307282,-148.6301295,-920.2851556,435.7864175,-286.1202156,-1078.447495,922.9238832,566.9479051,665.7440915,165.3499972,-193.7756642,773.4599331,-642.2648486,247.2638418,680.7830683,-618.3607293,-590.0397158,1303.954105,-173.8930393,636.0759327,643.4348793,248.4343089,-193.3119814,321.0765872,145.0927263,544.4861758,-150.8866863,162.5938253,465.0285262,1008.311496,-140.5795379,71.05280729,-306.1054504,-10.26656989,-83.96411716,41.96799928,806.8648866,520.6662158,-159.0740672,343.2024779,-145.0718027,-958.094257,157.8467722,-782.4595186,340.8315297,-286.252716,711.0155129,153.5994556,-94.28859325,195.4173208,224.2975064,509.8445035,-497.3460796,-1058.53127,526.9157464,19.66958103,17.84148378,516.6728098,-319.9959374,-278.0217136,423.7818927,-690.6662896,130.7921889,-181.0900461,65.6405868,-28.84229315,620.4528644,-369.988103,364.9991075,-668.9593809,489.7400053,-795.7743274,-787.5445707,36.73423781,101.4797591,-397.8210432,651.161751,324.3613718,132.3298437,213.7002914,-37.82293273,-61.24634121,61.74356319,456.4531376,156.8642577,274.4761774,450.9982731,350.7237351,-52.01634154,-317.2397003,176.9068291,-185.0388774,404.4611994,-32.12614806,330.3390213,114.9831462,-125.7087131,804.6308488,-1363.7702,-358.0866168,1116.985621,794.9244971,1318.364826,255.8911368,-28.93601286,134.579746,-746.358537,1037.561416,79.45945303,104.3571066,345.0550722,-65.28460094,125.554577,23.78656046,-34.02618894,-247.2888076,-206.6398629,545.9592519,-198.7487924
IWB (Russell1000),419.999,-1449.997,-370.003,440.002,1479.996,-540.001,-339.996,29.999,1209.999,199.997,350.006,-40.001,-90.004,279.999,-219.994,-1250,1070,-140,-700.004,230.003,-90.004,330.002,-989.998,-180,-760.002,40.001,1349.998,379.997,-839.996,-510.002,660.004,169.998,1169.998,-650.002,760.002,99.999,-939.995,-310.005,-79.994,-2400.002,320,839.996,-669.998,-320,610.001,-1919.998,250,1470.001,1189.995,560.005,-150.001,869.995,80.001,70,-519.996,-290.001,-580.002,-1209.999,-730.004,1380.005,900.002,49.995,-189.995,-400.001,-180,389.999,-940.003,-290,1459.999,-1049.996,129.997,-129.997,419.998,699.997,-309.997,-949.997,-2560.005,-3430.001,-4459.999,-1439.995,3970.002,2699.997,129.997,-849.999,-3370.002,2100.006,89.996,-1610.001,2739.998,-1509.994,509.994,560.006,-410.004,1349.998,950.005,-209.999,-1770.004,470.001,-1419.998,-220.002,-400.001,-610.001,-2829.994,29.999,1970.001,180,1629.998,1970.001,-390,939.995,1010.002,110.001,0,-720.001,-549.996,1619.995,460,120.002,-139.999,-779.999,1739.998,1220.001,-239.998,-340.004,1410.004,-70,-500,1390,299.995,-259.994,-150.002,-120.003,-1050.003,200.005,-459.999,-1580.002,-1279.999,1690.003,-200.005,1889.999,-69.999,349.998,-59.997,269.996,-39.993,139.999,-490.005,1060.005,-1160.004,-1709.999,2169.999,-839.997,-700.004,-909.996,279.998,-2220.001,430,1239.998,1640.007,-1750,-1920.005,830.001,1010.003,1439.994,-769.996,-250,1150.001,-870.003,-1040,-1649.994,219.993,-1479.995,-2690.003,-1120.003,-69.999,830.001,-2750,1640,-2259.995,19.997,-1169.998,459.999,2150.001,-1639.999,1509.995,-1189.995,409.996,2620.003,29.998,-2000,580.002,239.998,-2099.998,-1560.006,-179.992,119.995,-1349.999,2010.002,1790.001,1799.996,-440.003,20.005,1510.002,-1250,430,1259.995,-40.001,-869.995,2549.995,550.003,550.003,369.995,130.005,-1350.006,590.004,-50.003,1889.999,-119.995,-320,729.996,760.002,529.999,80.002,-10.002,-1409.996,0,29.999,1150.001,419.998,-150.001,669.998,-390,-1129.997,1250,-1340.004,300.003,-230.003,1050.003,1220.001,-10.002,-89.996,809.997,309.998,170.006,-600.006,60.005,-270.005,290.001,279.999,-1099.998,-650.002,890,-1059.998,-669.998,-20.004,360,120.003,1449.997,-1129.997,0,-989.998,1199.997,-1089.997,9.995,-390,730.004,-200.005,1510.002,800.003,40.001,500,-150.001,309.997,400.002,-379.997,619.995,150.001,379.998,-210,-1119.995,-970.001,-230.003,-59.998,320,-430,769.996,250,-159.996,1580.002,-4310.005,-2169.998,2000,2010.002,1559.997,260.003,-860.001,80.002,-40.001,1759.994,450.005,870.003,-30.007,610.001,-220.001,290.001,-70,580.002,-480.004,540.001,-250
