Ticket,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
'XOM',0.041963157,0.048146453,0.039138837,0.032956748,0.04499002,0.058534385,0.044941153,0.045308979,0.050561108,0.037973735,0.042409192,0.049924853,0.044021339,0.041002045,0.036659112,0.045358425,0.043684782
'PSX',0.030775074,0.035309798,0.028703765,0.024169925,0.032994924,0.042928133,0.032959085,0.033228843,0.037080666,0.027849298,0.031102188,0.036614047,0.032284509,0.03007021,0.026885176,0.033265106,0.032037684
'PX',0.132085455,0.165193204,0.211046744,0.176196361,0.274777252,0.20197068,0.181288215,0.172399672,0.233967441,0.178429158,0.180360082,0.216841522,0.169147726,0.189143605,0.194602207,0.146173752,0.121227684
'LMT',0.021154706,0.030781077,0.023454243,0.017875171,0.020290188,0.023096645,0.026451198,0.016625814,0.016681057,0.019799513,0.021483181,0.024483536,0.020665095,0.02448552,0.02536498,0.024884273,0.018685674
'UPS',0.02121316,0.03086613,0.023519051,0.017924562,0.020346253,0.023160464,0.026524287,0.016671754,0.016727149,0.019854222,0.021542542,0.024551188,0.020722196,0.024553177,0.025435067,0.024953032,0.018737305
'DAL',0.011313526,0.016461704,0.012543317,0.009559632,0.010851182,0.012352074,0.014146087,0.008891477,0.008921021,0.010588769,0.011489194,0.013093783,0.011051682,0.013094843,0.013565178,0.013308096,0.009993089
'CMCSA',0.009583352,0.01029327,0.011508921,0.009733529,0.01140002,0.011398142,0.011896268,0.012252725,0.011152844,0.010677846,0.013387287,0.012002828,0.012248444,0.012004521,0.011942548,0.012531725,0.010681956
'LOW',0.009066608,0.009738246,0.010888348,0.009208687,0.01078532,0.010783542,0.011254809,0.011592045,0.010551471,0.010102085,0.012665431,0.011355623,0.011587995,0.011357224,0.011298594,0.011856001,0.010105974
'TJX',0.008658043,0.009299416,0.010397691,0.00879372,0.010299305,0.010297608,0.010747638,0.011069678,0.010075995,0.009646859,0.012094694,0.010843909,0.01106581,0.010845439,0.01078945,0.011321739,0.009650573
'GM',0.007970656,0.008561108,0.009572188,0.008095561,0.009481614,0.009480052,0.009894352,0.010190824,0.009276032,0.008880967,0.011134462,0.00998298,0.010187264,0.009984388,0.009932844,0.010422874,0.008884386
'KO',0.02707097,0.009524798,0.026306441,0.019826574,0.022089136,0.027323338,0.023848731,0.032764057,0.03131489,0.035425822,0.023064927,0.02534862,0.024312674,0.024099219,0.023399274,0.027276801,0.020627928
'PEP',0.027190167,0.009566737,0.026422272,0.019913873,0.022186397,0.027443646,0.02395374,0.032908321,0.031452774,0.035581807,0.023166485,0.025460234,0.024419726,0.024205331,0.023502304,0.027396904,0.020718756
