Ticket,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
'PG',0.02841692,0.009998365,0.02761438,0.020812338,0.023187393,0.028681836,0.025034473,0.034393063,0.032871845,0.037187171,0.0242117,0.026608937,0.025521484,0.025297416,0.02456267,0.028632985,0.021653535
'JNJ',0.012718649,0.014717148,0.016490357,0.01350304,0.014324582,0.015303422,0.013196041,0.012010949,0.013856278,0.013230078,0.01361865,0.01183526,0.012915911,0.012906837,0.013925201,0.020417405,0.013092023
'SYK',0.010935245,0.012653516,0.014178086,0.01160965,0.012315996,0.013157583,0.011345697,0.010326779,0.011913357,0.011374962,0.011709049,0.010175725,0.011104848,0.011097046,0.011972615,0.017554485,0.011256265
'BDX',0.011572775,0.013391222,0.015004676,0.012286498,0.013034024,0.013924677,0.012007157,0.010928835,0.012607911,0.012038128,0.012391692,0.010768975,0.011752266,0.011744009,0.012670625,0.01857792,0.011912511
'MDT',0.010056228,0.011636377,0.013038397,0.010676421,0.011325988,0.012099926,0.010433686,0.009496672,0.010955715,0.010460598,0.01076783,0.009357761,0.010212197,0.010205023,0.01101021,0.016143388,0.010351443
'BRK-B',0.00606409,0.008696333,0.008374302,0.00604125,0.006833883,0.008355579,0.006993655,0.007629078,0.008265334,0.008220758,0.008019084,0.007334299,0.007651416,0.00702806,0.006378242,0.006799324,0.005673998
'TRV',0.006434878,0.009228069,0.008886347,0.006410642,0.00725174,0.00886648,0.007421281,0.008095557,0.008770717,0.008723416,0.008509409,0.007782754,0.008119261,0.00745779,0.006768238,0.007215067,0.006020934
'CCI',0.007002067,0.010041457,0.009669616,0.006975694,0.007890929,0.009647997,0.008075414,0.008809123,0.009543793,0.009492323,0.009259453,0.008468749,0.008834916,0.008115141,0.00736481,0.007851024,0.006551637
'MMC',0.006102121,0.00875087,0.00842682,0.006079137,0.00687674,0.00840798,0.007037515,0.007676923,0.008317169,0.008272314,0.008069374,0.007380295,0.007699401,0.007072136,0.006418242,0.006841965,0.005709582
'CB',0.006387212,0.009159712,0.008820522,0.006363155,0.007198022,0.008800802,0.007366308,0.008035589,0.008705748,0.008658797,0.008446376,0.007725104,0.008059117,0.007402547,0.006718103,0.007161622,0.005976334
'ADP',0.004310752,0.005718124,0.006307344,0.005775339,0.007264656,0.006978095,0.002060735,0.005192421,0.006804593,0.005664759,0.005393492,0.005549158,0.005734051,0.0049007,0.00543747,0.005916014,0.004519073
'EMC',0.003917244,0.005196143,0.005731576,0.005248135,0.006601499,0.006341097,0.00187262,0.004718429,0.006183433,0.005147649,0.004901145,0.005042601,0.005210616,0.004453338,0.004941109,0.005375969,0.004106548
'ACN',0.004410266,0.005850127,0.00645295,0.005908663,0.007432361,0.007139185,0.002108308,0.005312288,0.006961678,0.00579553,0.005518001,0.00567726,0.005866423,0.005013833,0.005562995,0.006052586,0.004623396
'MSFT',0.003665127,0.004861715,0.005362687,0.004910361,0.006176621,0.005932979,0.001752097,0.004414747,0.005785462,0.004816342,0.004585703,0.004718055,0.004875257,0.004166717,0.004623095,0.005029967,0.003842247
'MA',0.000805935,0.001069057,0.001179217,0.001079753,0.001358195,0.00130462,0.000385274,0.000970771,0.001272182,0.001059079,0.001008364,0.001037467,0.001072034,0.000916232,0.001016586,0.001106054,0.000844883
'IBM',0.004241117,0.005625753,0.006205456,0.005682045,0.007147303,0.006865372,0.002027446,0.005108542,0.006694672,0.00557325,0.005306366,0.005459517,0.005641424,0.004821534,0.005349633,0.005820447,0.004446072
'VZ',0.254892789,0.202453009,0.164800805,0.263716985,0.179643665,0.184173609,0.249165091,0.215543645,0.186493764,0.243630477,0.255541131,0.236852872,0.204240015,0.200661529,0.187796832,0.209914317,0.24171523
'D',0.270021324,0.277210685,0.239954285,0.252666147,0.183644418,0.195249711,0.213811264,0.237432034,0.186233545,0.195843926,0.198843146,0.167721728,0.263774531,0.251894215,0.264106213,0.234840389,0.312668103
