Ticket,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
RiskParity,1006.503726,998.4446336,985.9980457,984.1033736,986.9843126,991.3241329,979.562431,994.2430538,979.3695068,988.365284,975.2459308,982.2548536,998.3919817,989.4979675,1003.871849,1004.920841,1011.126248,1030.860153,1027.315093,1014.351136,1028.464712,1033.15505,1032.522244,1020.597363,1024.632854,1021.154325,1007.807186,1019.772809,1027.103897,1035.247705,1037.933522,1035.664207,1046.214543,1038.047437,1041.364793,1049.666867,1040.938214,1034.117315,1049.852894,1048.645304,1056.493905,1063.696597,1068.399686,1066.797337,1070.394321,1071.221201,1078.33552,1077.126355,1079.891047,1086.661,1099.546757,1096.078132,1097.408519,1092.932965,1092.256699,1093.065962,1092.818723,1104.634506,1109.6602,1108.436563,1111.518941,1109.781672,1097.014654,1097.493576,1085.575981,1090.023752,1085.575547,1094.03602,1.09E+03,1093.172173,1095.1465,1098.383294,1104.861899,1095.963083,1078.8177,1086.018112,1086.918202,1085.00398,1094.410225,1089.723033,1086.695699,1093.149279,1084.085905,1086.686283,1083.287894,1083.670763,1083.790711,1091.621658,1086.924216,1091.968861,1083.44448,1089.966357,1079.072605,1067.455645,1068.109757,1069.239344,1062.464365,1071.804399,1076.254789,1079.300081,1083.253761,1084.979552,1081.948027,1083.062764,1089.980646,1090.850182,1096.532075,1100.985473,1106.909565,1107.466074,1103.631079,1106.40858,1104.220245,1110.488482,1111.256897,1115.078274,1117.355965,1114.884838,1125.097345,1109.141953,1106.557524,1121.43979,1130.795157,1148.671558,1152.327536,1152.925235,1154.103607,1142.168732,1155.799488,1156.806618,1156.449009,1161.511963,1159.801964,1161.218654,1162.323901,1161.340769,1157.935226,1155.628928,1164.636858,1162.003656
IWB (Russell1000),1001.970204,988.7157263,964.6247096,954.5942332,953.9673387,961.4006265,936.772292,951.459735,931.2197668,931.3988553,920.9206359,925.0402758,944.2951649,929.6077301,943.1308806,932.4735734,936.1453979,959.6095115,959.8781667,941.966651,947.1610084,949.3103724,930.503298,916.5322618,914.9202969,915.9949431,903.9046782,921.9057699,937.9365856,954.0569148,950.1163535,950.2955132,963.8187267,952.6240291,956.4750051,967.759216,967.4009767,959.6095118,982.4466502,987.3723449,992.2980384,995.6116242,996.7759174,984.6855897,989.9695228,989.5217081,1006.448083,1005.373436,1002.507593,1009.045261,1015.851655,1020.598198,1021.314677,1.02E+03,1008.597518,1008.597518,1008.866182,1019.165313,1022.926713,1021.583341,1027.58368,1024.090934,1013.970955,1025.165652,1013.1649,1015.851654,1013.791803,1023.195376,1034.12141,1.03E+03,1033.225852,1040.479989,1043.256256,1044.778789,1039.40528,1039.942671,1037.524571,1040.12175,1042.629354,1032.778038,1026.956777,1034.927403,1025.434317,1019.433977,1019.254825,1022.478899,1023.553616,1036.539439,1026.419458,1026.419458,1017.553276,1028.300159,1018.538409,1.02E+03,1015.135176,1021.672915,1019.881719,1033.404932,1040.569565,1040.927804,1045.405683,1044.062311,1046.838568,1050.42089,1047.017728,1052.570253,1053.913626,1057.316796,1055.436087,1045.405683,1036.718589,1034.658738,1034.12141,1036.987252,1033.136277,1040.032175,1042.271115,1040.83823,1054.988345,1016.388983,996.9550052,1014.866521,1032.867614,1046.838569,1049.167093,1041.465132,1042.18161,1041.823371,1057.585451,1061.615588,1069.407124,1069.138389,1074.60141,1072.631135,1075.228314,1074.60141,1079.795768,1075.496968,1080.333087,1078.094147
